int_id_1_1_1|date_2019-01-01_2019-12-31_2|ascii_str_8_8_3|double_-1.0_1.0_4|integer_-1000_1000_5
1|2019-07-19|%K,5eHnj|0.544977247399683|517
2|2019-06-26|{I1I/Ji#|-0.6898551581833539|156
3|2019-06-24|Gg)aF=pE|-0.6819232850563046|-22
4|2019-04-17|Ww\r3^R\|-0.7313781566231641|462
5|2019-05-15|m_EG4gu<|-0.8745900860387439|378
6|2019-04-01|QP^;$iq{|0.22190024544598752|857
7|2019-05-21|-2~Fhx;u|-0.11626355265086841|956
8|2019-07-12|CzuE:ur~|0.09294777195634718|392
9|2019-12-28|q.FJuH?m|0.19881344312870786|836
10|2019-12-28|g(4jW:?7|0.9160254958596403|-5
11|2019-12-03|"am|)xTD\"|0.6574777066605406|-617
12|2019-05-26|Sf^}8Yl>|-0.6347866254684702|895
13|2019-08-11|{-.%J`QH|0.8848251257081516|956
14|2019-07-06|qcz`DF/,|-0.31914964241373034|163
15|2019-06-02|+T.kQ{ZO|-0.8025417709941143|663
16|2019-01-26|&Lq{7V/4|0.7632810445907035|-551
17|2019-12-07|&z/Kk-^^|0.6789017882778583|-176
18|2019-10-29|CIK`&9qv|0.3975096354990104|90
19|2019-05-15|c;b0cRBQ|-0.8771032183539378|508
20|2019-05-01|Iy\W;(a+|-0.11920026302329778|-771
21|2019-06-24|2$0JjTOs|0.9783002652024153|-542
22|2019-11-26|p>>Z/_v{|-0.6657847998206596|-911
23|2019-11-29|UklhD2ob|-0.7083785551105555|935
24|2019-08-02|ITIOSxMj|-0.8050773552454453|-515
25|2019-10-03|y8FRlK!f|0.14648221622650381|252
26|2019-09-15|(z7f^m_d|-0.6679203684277755|487
27|2019-03-27|"|K|?m:wW"|-0.6218411010828329|-270
28|2019-11-26|/!dC\qLI|0.22197462697314552|-224
29|2019-11-28|,REBC3ZM|0.2005355604719894|-715
30|2019-05-19|"cew|bjfw"|0.2580996786611096|318
31|2019-06-07|^(<xJagh|0.5670964387873596|-511
32|2019-10-06|Y6SVlZ0{|0.9566944336567476|493
33|2019-11-06|_.='%>I%|0.4128690753703146|-404
34|2019-11-12|5.xE)sgC|0.9347356049004132|-539
35|2019-09-24|8pU[>C-:|-0.6896453750514355|34
36|2019-01-07|+ct'ZOz-|-0.9565500821153161|-587
37|2019-08-24|"g|p$#Z33"|0.9022973051475041|-729
38|2019-09-21|"\""d18*)W"|0.6550609874660922|-349
39|2019-05-28|VLUk%o@6|0.6196815076086502|-186
40|2019-01-17|(;T<V(25|0.8979694970352627|-999
41|2019-07-15|"H=eR""%""e"|0.9068330954398434|-605
42|2019-07-27|M1hXnw;8|-0.6921355849236288|835
43|2019-04-22|!%Na;im?|0.00760780936843819|-693
44|2019-08-31|r-`},uTS|0.41651503877701956|-872
45|2019-03-05|(`V{^vH?|0.19525747592231846|717
46|2019-09-12|"|mRM;1!,"|0.5764721011843612|924
47|2019-10-22|\.~G&,bw|0.34643446687823887|-300
48|2019-05-31|.mjEf7ty|-0.8348462355887467|-74
49|2019-10-07|]uH4w~&<|-0.027631773852810237|272
50|2019-04-03|o?-#2!+#|-0.9987621488951359|-588
51|2019-07-09|"NjOm""U9I"|-0.5691099090610425|-902
52|2019-07-02|"#xpNLU!"""|-0.5885372737591246|215
53|2019-06-27|]iVfA*H>|-0.7442566989968984|32
54|2019-12-31|*7E&h}sP|0.7043441440382592|451
55|2019-07-20|9YiX!@mc|0.11893870606973556|461
56|2019-06-26|EFZGX'YO|-0.294462141836495|622
57|2019-12-27|3fdZT*i?|-0.26739744753918515|670
58|2019-06-10|Qs'vEAnv|-0.9365479366296823|-252
59|2019-12-28|3}QUfTi%|-0.8976747339558104|779
60|2019-02-16|L{J)'YFg|0.5597218043375969|457
61|2019-07-22|Q5/45U]}|0.8633993648387024|884
62|2019-01-03|L+=AUym]|-0.20309590572267644|-810
63|2019-07-23|CtkiNJe:|0.3499350208895382|684
64|2019-09-10|o),8v03}|-0.9667329094211841|510
65|2019-04-29|n:~BTgUM|0.060119700922685926|352
66|2019-04-17|W[%el[Pd|0.19965220181122545|-415
67|2019-01-21|i?6xJ4Jn|-0.6270254911855444|481
68|2019-02-07|7${n5Xx~|0.7757025832157929|483
69|2019-05-31|zDuzxm1R|0.9896424034863025|-739
70|2019-09-29|n+nkC2lU|0.4895311260370041|184
71|2019-11-02|3\?&9tM}|-0.6660569768480538|-63
72|2019-05-11|2RaJBTxh|-0.7672036664172268|-843
73|2019-01-01|{j>tkYeo|-0.621575650581214|-838
74|2019-03-31|eGkwOW$n|0.39208186769701836|-39
75|2019-10-10|y[@fgUR^|-0.7259702809403559|-260
76|2019-11-21|d=9*LFJU|-0.17531072460755026|4
77|2019-12-30|VAMjwo-w|0.7440011414809042|284
78|2019-12-09|j'.fdrbo|0.23309709499458742|-809
79|2019-03-25|;/$=4V<3|-0.5465341664368804|-937
80|2019-06-07|x;^9'A{G|-0.8030519287966202|-1000
81|2019-05-24|>/F!mk.-|-0.7621759675251998|-553
82|2019-03-17|WOot(<}t|-0.06954451003908702|922
83|2019-11-22|+[[q4&6;|-0.5418721822780694|-739
84|2019-07-12|4K=>gm66|-0.34482551398367267|-916
85|2019-11-25|"Z[^{|QA,"|-0.03372390065757469|-928
86|2019-10-17|APs0N'u)|0.19093951021333244|207
87|2019-08-03|S%3E+lt_|0.7618390288458741|792
